연번,허가일자,상호,설비용량(킬로와트),설치장소,사업개시일
1,2023-04-12,주식회사 디엘에이치아이,1708.30 ,"경상남도 사천시 사남면 외국기업로 152-21, (주)디엘에이치아이",2023-12-18
2,2022-10-04,태영산업(주)(태영산업(주) 2호 태양광발전소),1248.39 ,경상남도 밀양시 삼랑진읍 미율로 329-9,2023-03-28
3,2022-09-16,햇살그린협동조합,1380.12 ,"경상남도 함안군 가야읍 함마대로 1316, 옥산IMT 본관동",2023-06-19
4,2022-08-17,진양금속(주)(진양1호발전소),1775.48 ,경상남도 김해시 주촌면 골든루트로 103-8,2023-10-16
5,2022-06-23,(주)한국카본(한국카본솔렉트 초동 발전소),1144.64 ,"밀양시 초동면 신연로 262, 가,나,다동",2022-11-18
6,2022-06-02,지에스이피에스(주)(LG전자 스마트파크1 태양광발전소),2517.20 ,"창원시 성산구 성산패총로 170, LG전자창원1공장(가음정동)",2022-11-21
7,2022-05-19,(주)금아스틸(금아스틸2 태양광발전소),1224.30 ,김해시 진영읍 하계로240번길 209-8,2023-05-22
8,2022-05-10,유한회사 시너지에너지(아이티판넬 태양광발전소),1940.10 ,진주시 지수면 지수로 349-20,2023-03-24
9,2022-04-04,주식회사 플레이팩토리 3호(주식회사 플레이팩토리 3호),1672.92 ,김해시 한림면 고모로 800,2022-09-27
10,2021-12-22,청우중공업주식회사,2773.80 ,사천시 사남면 공단2로 220,2022-12-15
11,2021-12-13,에넬엑스중부태양광 유한회사,1640.08 ,"사천시 사남면 외국기업로 152-54, (주)이이더불유코리아",2022-11-24
12,2021-10-18,(주)부산도시가스,2347.20 ,"창원시 진해구 신항7로 132, (주)지엠엘(남문동)",2022-09-13
13,2021-09-03,메가세븐주식회사(사천HSG태양광발전소),2322.00 ,사천시 사남면 방지리 735번지,2022-05-30
14,2021-07-20,메가세븐(주) 창원HSG 태양광발전소,2097.00 ,"창원시 성산구 공단로 160, HSG중공업(주)(신촌동)",2022-09-08
15,2021-07-15,한국동서발전(주)(엔비지 태양광발전소),1394.00 ,밀양시 부북면 사포산단1길 35,2023-02-27
16,2021-06-08,켑코솔라 주식회사(KEPCO-16-F37 에스앤케이 태양광),1159.20 ,사천시 사남면 유천리 900번지,2021-11-23
17,2021-06-16,(주)유에스피 유에스피1호 태양광발전소,2281.60 ,"창원시 진해구 신항3로 22, 보고씨엔에스 (용원동)",2022-04-01
18,2021-05-26,주식회사 금송(금송 태양광 발전소),2016.00 ,의령군 의령읍 구룡로4남길 28,2021-12-08
19,2021-04-12,켑코솔라(주)(KEPCO 부산크로스독 태양광발전소),1450.24 ,"창원시 진해구 신항4로 15-82, 부산크로스독 (용원동)",2022-02-11
20,2020-07-28,농협경제지주(주) 농협 밀양물류센터 태양광발전소,2028.60 ,밀양시 부북면 점필재로 229,2021-05-07
21,2020-01-30,(주)부산도시가스 칼트로지스 부산신항 태양광발전소,1737.36 ,"창원시 진해구 신항4로 16-15, 칼트로지스부산 (용원동)",2020-05-06
22,2019-11-05,코원에너지서비스(주) 코원ES햇빛발전소IV(창원),1518.75 ,"창원시 진해구 신항4로 15-48, 롯데코스코쉬핑로지스 (용원동)",2020-04-18
23,2019-10-29,탑에너지태양광발전소(탑에너지태양광발전소1호),2014.50 ,"사천시 사남면 공단1로 42, (주)대동기어",2022-04-08
24,2019-08-26,(주)금아스틸 금아스틸태양광발전소,1994.40 ,김해시 진영읍 하계로240번길 209-40,2022-03-14
25,2019-07-04,세방(주) SOLVIC3호 태양광발전소,1538.46 ,"창원시 진해구 신항4로 15-6, 동방물류센터 (용원동)",2020-07-08
26,2018-08-31,경일쏠라(주) 경일쏠라햇빛발전소,1479.87 ,"창녕군 장마면 장가리 산 100-12 ,310번지",2020-09-18
27,2018-11-30,범한산업 주식회사(대산공장태양광발전소),1084.00 ,"창원시 의창구 대산면 가술리 697-1 ,697-2,697-3",2019-06-19
28,2017-09-14,(주)에스비솔라태양광발전소,1335.51 ,"창원시 진해구 신항8로 95, 가동 (남문동,대한통운SB창고)",2018-12-03
29,2017-09-05,대일화학태양광발전소,1495.44 ,김해시 진례면 테크노밸리로 36,2018-02-20
30,2017-09-05,(주)첼시4호태양광발전소(의령대의태양광),1995.84 ,"의령군 대의면 천곡리 산 123번지 , 633-2",2019-07-31
31,2017-08-14,(유)라미솔라 라미솔라 창원특수강1기 태양광발전소,1793.88 ,창원시 성산구 적현로279번길 30 (신촌동),2017-12-13
32,2017-08-02,우원솔라주식회사(사천묵곡),2483.00 ,사천시 곤양면 묵곡리 359-2번지,2019-04-12
33,2017-07-03,해모둠태양광 주식회사,1600.83 ,의령군 용덕면 와요리 산 44번지,2019-06-14
34,2017-04-05,한국농어촌공사 사천지사(두량2 수상태양광발전소),2695.68 ,"사천시 사천읍 두량리 1080번지 ,1081,1093,1130,1180,1610",2020-03-26
35,2017-03-23,(주)엘에스와이에너지 한국중기계LSY에너지 태양광발전소,1025.10 ,"함안군 군북면 유전2길 52-1, 84",2020-12-09
36,2017-03-13,한국농어촌공사 밀양지사(가산수상태양광 발전소),2006.40 ,밀양시 부북면 대항리 850번지 외 9필지,2018-07-17
37,2017-02-27,주식회사 에이비엠솔라(한국일본통운태양광발전소),1258.88 ,"창원시 진해구 신항8로 393, 한국일본통운(주)물류센터 (남문동)",2017-09-12
38,2017-01-18,한국농어촌공사 함안지사(명관수상태양광발전소),1211.76 ,함안군 군북면 명관리 1126번지 외 8필지,2018-01-31
39,2016-11-10,유한회사 에스원쏠라(티에스2호태양광발전소),1200.00 ,남해군 남면 평산리 8번지 1호 8-2,2019-03-18
40,2016-11-11,유한회사 에스원쏠라(티에스태양광발전소),1495.44 ,남해군 남면 평산리 1번지 5호,2018-12-06
41,2016-11-10,유한회사 송촌(남해덕월태양광발전소),2599.00 ,"남해군 남면 덕월리 170-4 ,170-5,170-15,170-17",2018-12-06
42,2016-11-10,주식회사 이앤에스(덕월태양광발전소),1297.44 ,남해군 남면 덕월리 170번지 2호,2017-11-14
43,2016-11-10,주식회사 에스원지이(평산태양광발전소),2400.00 ,남해군 남면 평산리 1번지 1호,2017-11-14
44,2016-11-04,주식회사 이에프리뉴어블스수상태양광발전소제일호(하이저수지 수상태양광발전소),2518.56 ,고성군 하이면 와룡리 250번지 1호 외 15필지,2017-12-30
45,2016-10-12,주식회사 하찬캄 태양광발전소,1485.00 ,고성군 하이면 월흥리 산 153번지 산154,2018-03-15
46,2016-10-05,아폴로솔라5호 주식회사(아폴로솔라5호 태양광발전소),2062.26 ,"남해군 남해읍 입현리 406번지 13호 406-14, 406-15",2018-06-16
47,2016-10-05,아폴로솔라4호 주식회사(아폴로솔라4호 태양광발전소),2502.45 ,"남해군 남해읍 입현리 406번지 10호 406-11, 406-12",2020-08-03
48,2016-09-06,하늘농장 주식회사(하늘농장15호 태양광발전소),1497.60 ,"거창군 가조면 일부리 산 43번지 5호 산43-32, 2-1, 2-2, 10-1, 10-2",2017-11-06
49,2016-08-19,한국농어촌공사 사천지사(두량태양광발전소),2996.91 ,사천시 사천읍 두량리 94번지 등 13필지,2017-11-10
50,2016-08-08,세일솔라 주식회사[세일솔라 덕산(3MW) 태양광발전소],3000.00 ,김해시 대동면 동북로 67,2017-01-13
51,2016-06-27,(주)케이더블유에너지태양광발전소,1700.00 ,거창군 남하면 대야리 산 199번지 1호,2018-03-23
52,2016-05-25,주식회사 에스와이에너지(에스와이에너지),2016.00 ,의령군 의령읍 하리 산 166번지,2020-05-11
53,2016-05-04,주식회사 초곡태양광발전소,1496.88 ,의령군 유곡면 세간리 산 149번지 5호,2018-03-06
54,2016-04-04,주식회사 하리에너지[하리에너지],2016.00 ,의령군 의령읍 하리 산 166번지,2020-05-11
55,2016-04-04,주식회사 드림의령에너지[드림의령에너지],2016.00 ,의령군 의령읍 하리 산 166번지 산176,2020-05-11
56,2016-04-04,주식회사 부원에너지[부원에너지],2001.00 ,의령군 의령읍 하리 산 166번지,2020-05-11
57,2016-04-04,주식회사 아띠솔라[아띠솔라],2096.64 ,의령군 의령읍 하리 산 166번지 산166-2,2020-05-06
58,2016-03-16,미래개발 주식회사,2001.12 ,고성군 하이면 월흥리 산 154번지,2017-01-24
59,2016-03-04,신안태양광,2041.20 ,"산청군 신안면 신기리 산 129-2 ,900,901,903",2020-07-27
60,2015-11-25,주식회사 광호(광호태양광발전소),1497.92 ,"함양군 백전면 평정리 산 87번지 9호 산87-10, 687, 688, 688-1, 684-1, 685, 685-1, 686, 689",2017-07-28
61,2015-07-13,(주)지피원(지피원오호리태양광발전소),1198.80 ,"창녕군 길곡면 오호리 산 1번지 4호 ,1-5",2018-03-21
62,2015-05-20,(주)대야에너지(대야에너지태양광발전소),2113.02 ,의령군 대의면 천곡리 산 87번지,2017-05-23
63,2015-05-12,코리아에너지발전소(주)(코리아에너지발전소(주)3호기),2184.00 ,산청군 금서면 친환경로 2436,2015-12-22
64,2015-03-12,주식회사 무량에너지,2303.91 ,고성군 고성읍 무량리 산 34번지,2016-09-13
65,2015-02-10,(유)흥일에너지 산청태양광발전소,1349.38 ,산청군 금서면 신아리 1127번지 1128,2015-11-18
66,2014-10-31,대명에너지 태양광발전소,1400.00 ,하동군 북천면 화정리 653번지 1호,2016-04-06
67,2014-10-14,쌍백태양광발전소,2000.00 ,합천군 쌍백면 평구리 산 17번지 2호,2015-07-24
68,2014-07-31,농업회사법인 피비태선 주식회사(피비태선오계1태양광발전소),1100.05 ,거창군 남상면 오계리 104번지,2015-03-06
69,2014-06-23,양산솔라태양광발전소,2993.76 ,양산시 물금읍 제방로 27,2014-11-21
70,2014-06-12,해사랑태양광 주식회사(대전통영선 태양광발전소),2953.80 ,고성군 대가면 신전리 8번지 5호,2015-01-07
71,2014-04-07,(주)성훈철강지수공장,1310.70 ,"진주시 지수면 승산리 161번지 ,162,163-1,산1,청원리 산1",2014-09-04
72,2014-03-26,유한회사 다모아(다모아태양광발전소),1904.64 ,의령군 대의면 다사리 산 57번지 1호,2017-03-17
73,2014-03-13,엔에스쏠라제2태양광발전소,2500.00 ,창녕군 대합면 대동월포로 291,2014-06-26
74,2014-02-25,㈜라미솔라 라미솔라 창녕베스틸1기 태양광발전소,2624.40 ,"창녕군 대합면 대합산업단지로 100, 세아베스틸",2014-07-16
75,2014-01-21,레일에너지태양광발전소7,1250.00 ,김해시 한림면 시산리 185번지 2호,2014-12-18
76,2014-01-17,대한솔라태양광발전소,2300.00 ,"창원시 진해구 용원동 1319번지 A동, 가동",2014-05-28
77,2013-12-23,디에스에너지(주)(양산물류센터태양광발전소),1734.00 ,양산시 물금읍 제방로 225,2014-07-15
78,2013-11-15,넥스트에너지 태양광발전소,2004.48 ,함양군 서상면 육십령안길 18-1,2017-09-28
79,2013-10-08,한빛에스지 주식회사(한빛에스지 태양광발전소),1998.92 ,"거창군 웅양면 산포리 산 103번지 4호 ,산103-12,365,366,367,368",2014-08-28
80,2013-09-30,동남태양광LG전자창원2공장발전소,2098.20 ,창원시 성산구 완암로 84 (성산동),2014-01-10
81,2013-06-25,케이에스솔라(주)(GMK 창원공장 태양광발전소),2996.62 ,창원시 성산구 창원대로 1124 (성주동),2013-10-18
82,2013-06-10,성일엠텍1호태양광발전소,1037.50 ,창녕군 영산면 서리상촌길 307-113,2013-09-27
83,2013-03-13,화목맑은물순환센터 태양광발전소,1245.50 ,김해시 김해대로2272번길 642 (화목동),2013-10-15
84,2013-01-07,(주)성훈철강,1623.84 ,진주시 도동로 80 (상평동),2016-05-02
85,2012-12-31,코리아에너지발전소(주) 2호기,2326.50 ,사천시 사남면 공단1로 78,2013-06-25
86,2012-12-31,코리아에너지발전소(주) 1호기,2993.96 ,사천시 사남면 공단1로 78,2013-06-25
87,2012-10-16,창원쏠라랜드(주)제1발전소,1700.00 ,창원시 마산회원구 내서읍 유통단지로 33,2013-12-31
88,2012-07-19,호포차량기지 태양광발전소,1500.00 ,양산시 동면 가산리 546번지,2013-04-24
89,2012-06-21,에스케이이엔에스(주) 경남창원태양광발전소,2951.04 ,창원시 성산구 두산볼보로 22 (귀곡동),2012-12-05
90,2012-01-19,(주)엔에스쏠라 태양광발전소,2966.25 ,창녕군 대합면 대동월포로 291,2013-06-17
91,2011-09-26,경남에너지주식회사,1200.00 ,"창원시 마산합포구 가포로 739 (덕동동,외 2필지)",2011-12-07
92,2011-08-25,(주)가조은혜개발,1200.00 ,거창군 가조면 석강리 산 46번지 6호,2014-05-01
93,2011-07-13,이글스에너지(주),2249.28 ,"창원시 성산구 성산패총로 9 (성산동,한화테크엠(주) 건물옥상)",2013-01-03
94,2007-12-20,백운세일에너지(주),1500.00 ,함양군 백전면 운산리 811번지 일원,2008-10-01
95,2007-11-28,김해명동태양광발전 주식회사,1538.60 ,김해시 한림면 김해대로 1347,2008-06-09
96,2007-11-28,합천솔라파크(주),1500.00 ,합천군 가회면 월계리 산 112번지 외 3필지,2008-08-26
97,2007-09-03,진수전력태양광발전소 (법인명 :(주)진수전력),2500.00 ,진주시 수곡면 효자리 263-1,2021-03-04
98,2007-03-19,(주)고암태양광발전,1500.00 ,창녕군 고암면 대암리 산 20번지 1호 외 8필지,2008-08-30
99,2007-01-10,한국서부발전(주),2000.00 ,밀양시 삼랑진읍 안태리 208번지 1호 일원,2007-09-21
